issuer,class,cusip,put_call,value,shares,lines
APPLE INC,COM,037833100,,57843260493,227917808,"1,10,11,12,14,2,4,5,6,7,8,9"
AMERICAN EXPRESS CO,COM,025816109,,45859204536,151610700,"11,13,4"
COCA COLA CO,COM,191216100,,30420000000,400000000,"1,10,11,12,13,2,4,5,6,8"
BANK AMERICA CORP,COM,060505104,,25039178044,513624165,"1,11,14,2,3,4,5,6,7,8"
CHEVRON CORPORATION,COM,166764100,,17457364606,84375856,"11,2,4,5,8"
OCCIDENTAL PETE CORP,COM,674599105,,17221193015,264941431,"11,4"
ALPHABET INC,CAP STK CL A,02079K305,,15600071913,54249798,"10,11,2,4,5"
CHUBB LTD SWITZ,COM,H1467J104,,11162836215,34249183,"11,4"
MOODYS CORP,COM,615369105,,10762190653,24669778,"1,11,2,4,8"
KRAFT HEINZ CO,COM,500754106,,7323527057,325634818,4
DAVITA INC,COM,23918K108,,4626158909,30100585,"11,4,8"
KROGER CO,COM,501044101,,3618000000,50000000,"1,11,2,4,5"
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,,2880548260,124807117,"11,4,8"
DELTA AIR LINES INC,COM NEW,247361702,,2646532635,39809456,"11,4"
VERISIGN INC,COM,92343E102,,2232726597,8989880,"11,4,8"
CAPITAL ONE FINL CORP,COM,14040H105,,1304374500,7150000,"11,2,4,5"
NEW YORK TIMES CO MTN BE,CL A,650111107,,1268219376,15146535,"11,4,8"
ALLY FINL INC,COM,02005N100,,1137670000,29000000,"10,11,2,4,5,8"
ALPHABET INC,CAP STK CL C,02079K107,,1028454775,3585215,"11,4"
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,,996356028,10587143,"10,11,4,8"
LENNAR CORP,CL A,526057104,,877052911,10099642,"11,4"
NUCOR CORP,COM,670346105,,660686383,3907075,"11,4"
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,,456970925,4986588,"10,11,4,8"
LOUISIANA PAC CORP,COM,546347105,,412113691,5664793,"11,4,8"
CONSTELLATION BRANDS INC,CL A,21036P108,,94933500,632890,"11,4,8"
NVR INC,COM,62944T105,,73226191,11112,"4,5"
MACYS INC,COM,55616P104,,54963842,3038355,"11,12,4"
LENNAR CORP,CL B,526057302,,19995576,237703,"11,4"
JEFFERIES FINANCIAL GROUP IN,COM,47233W109,,17892939,433558,"10,4"
