issuer,class,cusip,put_call,prev_shares,cur_shares,delta_shares,prev_value,cur_value,delta_value
ALLY FINL INC,COM,02005N100,,29000000,29000000,0,1313410001,1137670000,-175740001
ALPHABET INC,CAP STK CL C,02079K107,,0,3585215,3585215,0,1028454775,1028454775
ALPHABET INC,CAP STK CL A,02079K305,,17846142,54249798,36403656,5585842446,15600071913,10014229467
AMAZON COM INC,COM,023135106,,2276000,0,-2276000,525346320,0,-525346320
AMERICAN EXPRESS CO,COM,025816109,,151610700,151610700,0,56088378465,45859204536,-10229173929
APPLE INC,COM,037833100,,227917808,227917808,0,61961735283,57843260493,-4118474790
ATLANTA BRAVES HLDGS INC,COM SER C,047726302,,115428,0,-115428,4553634,0,-4553634
BANK AMERICA CORP,COM,060505104,,517295934,513624165,-3671769,28451276370,25039178044,-3412098326
CAPITAL ONE FINL CORP,COM,14040H105,,7150000,7150000,0,1732874000,1304374500,-428499500
CHARTER COMMUNICATIONS INC N,CL A,16119P108,,1060882,0,-1060882,221459118,0,-221459118
CHEVRON CORPORATION,COM,166764100,,130156362,84375856,-45780506,19837131131,17457364606,-2379766525
COCA COLA CO,COM,191216100,,400000000,400000000,0,27964000000,30420000000,2456000000
CONSTELLATION BRANDS INC,CL A,21036P108,,13000000,632890,-12367110,1793480000,94933500,-1698546500
DAVITA INC,COM,23918K108,,31759065,30100585,-1658480,3608147375,4626158909,1018011534
DELTA AIR LINES INC,COM NEW,247361702,,0,39809456,39809456,0,2646532635,2646532635
DIAGEO PLC,SPON ADR NEW,25243Q205,,227750,0,-227750,19647993,0,-19647993
DOMINOS PIZZA INC,COM,25754A201,,3350000,0,-3350000,1396347000,0,-1396347000
HEICO CORP NEW,CL A,422806208,,1294612,0,-1294612,326798907,0,-326798907
JEFFERIES FINANCIAL GROUP IN,COM,47233W109,,433558,433558,0,26867589,17892939,-8974650
KRAFT HEINZ CO,COM,500754106,,325634818,325634818,0,7896644337,7323527057,-573117280
KROGER CO,COM,501044101,,50000000,50000000,0,3124000000,3618000000,494000000
LAMAR ADVERTISING CO NEW,CL A,512816109,,1202410,0,-1202410,152201058,0,-152201058
LENNAR CORP,CL A,526057104,,7050950,10099642,3048692,724837660,877052911,152215251
LENNAR CORP,CL B,526057302,,180980,237703,56723,17214818,19995576,2780758
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,,4986588,4986588,0,406406923,456970925,50564002
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,,10917661,10587143,-330518,907912688,996356028,88443340
LIBERTY MEDIA CORP DEL,COM LBTY ONE S C,531229755,,3018555,0,-3018555,297357853,0,-297357853
LOUISIANA PAC CORP,COM,546347105,,5664793,5664793,0,457488683,412113691,-45374992
MACYS INC,COM,55616P104,,0,3038355,3038355,0,54963842,54963842
MASTERCARD INCORPORATED,CL A,57636Q104,,3986648,0,-3986648,2275897610,0,-2275897610
MOODYS CORP,COM,615369105,,24669778,24669778,0,12602556092,10762190653,-1840365439
NVR INC,COM,62944T105,,11112,11112,0,81037260,73226191,-7811069
NEW YORK TIMES CO MTN BE,CL A,650111107,,5065744,15146535,10080791,351663948,1268219376,916555428
NUCOR CORP,COM,670346105,,6407749,3907075,-2500674,1045167939,660686383,-384481556
OCCIDENTAL PETE CORP,COM,674599105,,264941431,264941431,0,10894391643,17221193015,6326801372
POOL CORP,COM,73278L105,,3068885,0,-3068885,702007444,0,-702007444
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,,124807117,124807117,0,2495518305,2880548260,385029955
UNITEDHEALTH GROUP INC,COM,91324P102,,5039564,0,-5039564,1663610472,0,-1663610472
VERISIGN INC,COM,92343E102,,8989880,8989880,0,2184091346,2232726597,48635251
VISA INC,COM CL A,92826C839,,8297460,0,-8297460,2910002197,0,-2910002197
ALLEGION PLC,ORD SHS,G0176J109,,780133,0,-780133,124212776,0,-124212776
AON PLC,SHS CL A,G0403H108,,3602995,0,-3602995,1271424876,0,-1271424876
LIBERTY LATIN AMERICA LTD,COM CL A,G9001E102,,2396665,0,-2396665,17711354,0,-17711354
LIBERTY LATIN AMERICA LTD,COM CL C,G9001E128,,1284020,0,-1284020,9578789,0,-9578789
CHUBB LTD SWITZ,COM,H1467J104,,34249183,34249183,0,10689854998,11162836215,472981217
