issuer,class,cusip,put_call,value,shares,lines
APPLE INC,COM,037833100,,65950296923,227917808,"1,10,11,12,14,2,4,5,6,7,8,9"
AMERICAN EXPRESS CO,COM,025816109,,51282319275,151610700,"11,13,4"
COCA COLA CO,COM,191216100,,32508000000,400000000,"1,10,11,12,13,2,4,5,6,8"
ALPHABET INC,CAP STK CL A,02079K305,,28157599351,78791167,"10,11,2,4,5"
BANK OF AMER CORP,COM,060505104,,27543790975,483394015,"1,11,14,2,4,6,7,8"
CHEVRON CORPORATION,COM,166764100,,13986141890,84375856,"11,2,4,5,8"
OCCIDENTAL PETE CORP,COM,674599105,,12868205304,264941431,"11,4"
CHUBB LIMITED,COM,H1467J104,,11670066615,34249183,"11,4"
MOODYS CORP,COM,615369105,,11173435852,24669778,"1,11,2,4,8"
ALPHABET INC,CAP STK CL C,02079K107,,9606489032,27188433,"11,4"
KRAFT HEINZ CO,COM,500754106,,7691494401,325634818,4
DAVITA INC,COM,23918K108,,6425268898,28880209,"11,4,8"
DELTA AIR LINES INC,COM NEW,247361702,,5368591200,57320000,"11,4"
SIRIUSXM HOLDINGS INC,COMMON STOCK,829933100,,3686802237,124807117,"11,4,8"
VERISIGN INC,COM,92343E102,,2261494212,8989880,"11,4,8"
KROGER CO,COM,501044101,,2165670000,39000000,"1,11,2,4"
ALLY FINL INC,COM,02005N100,,1240650000,27000000,"10,11,2,4,5,8"
LENNAR CORP,CL A,526057104,,1186481443,13111741,"11,2,4"
LIBERTY LIVE HOLDINGS INC,COM SHS SER C,530909308,,1118425787,10587143,"10,11,4,8"
NEW YORK TIMES CO MTN BE,CL A,650111107,,1098686000,15700000,"11,4,8"
CAPITAL ONE FINL CORP,COM,14040H105,,601860000,3000000,"11,4,5"
LIBERTY LIVE HOLDINGS INC,COM SER A,530909100,,504941901,4986588,"10,11,4,8"
LOUISIANA PAC CORP,COM,546347105,,445592617,5664793,"11,4,8"
NUCOR CORP,COM,670346105,,413814258,1857752,"11,4"
MACYS INC,COM,55616P104,,173031882,7347426,"11,12,4,5"
NVR INC,COM,62944T105,,75710501,11112,"4,5"
LENNAR CORP,CL B,526057302,,26445959,298117,"11,4"
JEFFERIES FINANCIAL GROUP IN,COM,47233W109,,21669229,433558,"10,4"
D R HORTON INC,COM,23331A109,,580504,3564,"11,4"
